epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1620.34,1.0233,1.85964,1.13233,0.47558,0.34774,0.35956,0.25617,1.04955,2.27036,1.15657,0.0672973,0.00033033,0.00033033
2,3341.68,1.05201,1.41226,1.13295,0.59584,0.43585,0.45352,0.31418,0.98804,1.63242,1.12676,0.0342847,0.000651054,0.000651054
3,4909.27,1.05332,1.26492,1.13947,0.62572,0.44562,0.49031,0.3324,1.04669,1.62792,1.17503,0.00125941,0.000959111,0.000959111
4,6412.93,1.01498,1.15554,1.11596,0.77863,0.46987,0.56785,0.38653,0.97077,1.1983,1.10185,0.000943,0.000943,0.000943
5,8001.72,0.98744,1.10817,1.10486,0.71992,0.57394,0.61632,0.44193,0.93253,1.02137,1.04363,0.000924,0.000924,0.000924
6,9629.66,0.95441,1.04191,1.07768,0.78817,0.52459,0.62099,0.44648,0.85239,0.97155,1.02926,0.000905,0.000905,0.000905
7,11224.7,0.90581,0.97406,1.05376,0.76923,0.56558,0.63394,0.45138,0.82928,0.92017,0.98895,0.000886,0.000886,0.000886
8,12846.8,0.90742,0.9342,1.05792,0.82101,0.6057,0.68201,0.49488,0.81182,0.82678,0.98869,0.000867,0.000867,0.000867
9,14440.7,0.87254,0.88396,1.0388,0.8479,0.61162,0.68972,0.49327,0.79841,0.82876,0.99243,0.000848,0.000848,0.000848
10,17193.4,0.86073,0.87315,1.04062,0.77977,0.60753,0.66499,0.48947,0.79768,0.8609,0.98564,0.000829,0.000829,0.000829
11,18833.3,0.84305,0.81766,1.02449,0.8469,0.60523,0.68932,0.52735,0.73708,0.7764,0.95943,0.00081,0.00081,0.00081
12,20375.8,0.83484,0.80995,1.01621,0.7745,0.61508,0.68198,0.50224,0.75751,0.8241,0.96313,0.000791,0.000791,0.000791
13,22181.3,0.79919,0.78726,0.99539,0.85448,0.60862,0.69359,0.51778,0.75154,0.75073,0.97367,0.000772,0.000772,0.000772
14,23773.3,0.79317,0.76339,1.0035,0.85677,0.63408,0.70786,0.53659,0.71528,0.73418,0.94846,0.000753,0.000753,0.000753
15,25505.3,0.75955,0.72088,0.9923,0.86473,0.62612,0.69784,0.53839,0.71347,0.71853,0.95824,0.000734,0.000734,0.000734
16,27093.7,0.75992,0.71519,0.98373,0.87346,0.62888,0.72925,0.55144,0.70168,0.7121,0.94189,0.000715,0.000715,0.000715
17,28574.9,0.75379,0.69402,0.97613,0.85773,0.65111,0.72502,0.55696,0.69181,0.6869,0.94039,0.000696,0.000696,0.000696
18,30065.2,0.72699,0.67008,0.96757,0.8293,0.65656,0.72614,0.5515,0.68696,0.67643,0.94396,0.000677,0.000677,0.000677
19,31543.3,0.72763,0.67613,0.96819,0.85041,0.61972,0.71522,0.56072,0.6609,0.67195,0.92786,0.000658,0.000658,0.000658
20,33141.9,0.70387,0.64329,0.96049,0.87018,0.65872,0.74223,0.57649,0.66469,0.64136,0.92962,0.000639,0.000639,0.000639
21,35140.4,0.69294,0.6284,0.94645,0.89458,0.65096,0.72977,0.56711,0.6286,0.62079,0.91402,0.00062,0.00062,0.00062
22,36653.2,0.6881,0.6237,0.95391,0.83598,0.66788,0.7372,0.57477,0.66543,0.65579,0.93602,0.000601,0.000601,0.000601
23,38357.8,0.68474,0.6181,0.95059,0.86099,0.67284,0.75808,0.59455,0.62925,0.59298,0.907,0.000582,0.000582,0.000582
24,40222.4,0.6863,0.6227,0.95463,0.89015,0.63899,0.73605,0.56912,0.64459,0.60449,0.92859,0.000563,0.000563,0.000563
25,42217.2,0.65902,0.58077,0.93833,0.91435,0.64824,0.75212,0.59235,0.62575,0.58652,0.90675,0.000544,0.000544,0.000544
26,44057.8,0.63797,0.55578,0.93133,0.85403,0.65983,0.73892,0.58576,0.63628,0.58951,0.9165,0.000525,0.000525,0.000525
27,45585.3,0.62806,0.55429,0.93582,0.89774,0.66342,0.74407,0.59561,0.60644,0.57775,0.90758,0.000506,0.000506,0.000506
28,47416,0.62922,0.54271,0.92744,0.86088,0.67828,0.75449,0.60549,0.59909,0.54939,0.89584,0.000487,0.000487,0.000487
29,48987.9,0.63204,0.5359,0.92915,0.8783,0.69719,0.75843,0.61291,0.60199,0.55531,0.89777,0.000468,0.000468,0.000468
30,50612.8,0.62548,0.53124,0.92105,0.90673,0.64358,0.7495,0.60709,0.59079,0.58059,0.89008,0.000449,0.000449,0.000449
31,52163,0.60311,0.5241,0.92042,0.93811,0.67003,0.76037,0.60678,0.60053,0.54703,0.89231,0.00043,0.00043,0.00043
32,53770.3,0.5975,0.50565,0.91502,0.82094,0.7019,0.75689,0.60845,0.57271,0.55381,0.88513,0.000411,0.000411,0.000411
33,55469.5,0.5933,0.49092,0.91269,0.88426,0.68296,0.75976,0.61917,0.57707,0.54605,0.89279,0.000392,0.000392,0.000392
34,57115.2,0.57637,0.47589,0.90645,0.85541,0.6958,0.76206,0.62059,0.56805,0.54935,0.88604,0.000373,0.000373,0.000373
35,58763,0.56986,0.47335,0.90429,0.90527,0.66495,0.76215,0.62766,0.55651,0.51252,0.88272,0.000354,0.000354,0.000354
